Transient analysis - Dval=5.05e-009 temperature=25.0
Time,V(CLK),V(D),V(Q)
 0.0000e+000, 0.0000e+000, 0.0000e+000, 8.9995e-001
 6.2500e-012, 5.6250e-002, 0.0000e+000, 9.0028e-001
 5.6256e-011, 5.0631e-001, 0.0000e+000, 9.0407e-001
 8.1260e-011, 7.3134e-001, 0.0000e+000, 6.3695e-001
 9.3761e-011, 8.4385e-001, 0.0000e+000, 2.8064e-001
 1.0000e-010, 9.0000e-001, 0.0000e+000, 1.0323e-001
 1.0617e-010, 9.0000e-001, 0.0000e+000, 3.9064e-002
 1.2039e-010, 9.0000e-001, 0.0000e+000,-9.3929e-003
 1.4373e-010, 9.0000e-001, 0.0000e+000, 5.4676e-003
 2.0922e-010, 9.0000e-001, 0.0000e+000,-4.2868e-003
 4.0922e-010, 9.0000e-001, 0.0000e+000, 4.0150e-003
 6.0922e-010, 9.0000e-001, 0.0000e+000,-3.6791e-003
 8.0922e-010, 9.0000e-001, 0.0000e+000, 3.4421e-003
 1.0092e-009, 9.0000e-001, 0.0000e+000,-3.1493e-003
 1.2092e-009, 9.0000e-001, 0.0000e+000, 2.9436e-003
 1.4092e-009, 9.0000e-001, 0.0000e+000,-2.6870e-003
 1.6092e-009, 9.0000e-001, 0.0000e+000, 2.5094e-003
 1.8092e-009, 9.0000e-001, 0.0000e+000,-2.2834e-003
 2.0092e-009, 9.0000e-001, 0.0000e+000, 2.1307e-003
 2.2092e-009, 9.0000e-001, 0.0000e+000,-1.9310e-003
 2.4092e-009, 9.0000e-001, 0.0000e+000, 1.8005e-003
 2.6092e-009, 9.0000e-001, 0.0000e+000,-1.6236e-003
 2.8092e-009, 9.0000e-001, 0.0000e+000, 1.5126e-003
 3.0092e-009, 9.0000e-001, 0.0000e+000,-1.3554e-003
 3.2092e-009, 9.0000e-001, 0.0000e+000, 1.2617e-003
 3.4092e-009, 9.0000e-001, 0.0000e+000,-1.1217e-003
 3.6092e-009, 9.0000e-001, 0.0000e+000, 1.0433e-003
 3.8092e-009, 9.0000e-001, 0.0000e+000,-9.1831e-004
 4.0092e-009, 9.0000e-001, 0.0000e+000, 8.5339e-004
 4.2092e-009, 9.0000e-001, 0.0000e+000,-7.4152e-004
 4.4092e-009, 9.0000e-001, 0.0000e+000, 6.8849e-004
 4.6092e-009, 9.0000e-001, 0.0000e+000,-5.8810e-004
 4.8092e-009, 9.0000e-001, 0.0000e+000, 5.4556e-004
 5.0092e-009, 9.0000e-001, 0.0000e+000,-4.5521e-004
 5.0500e-009, 9.0000e-001, 0.0000e+000, 2.2345e-004
 5.0750e-009, 9.0000e-001, 2.2500e-001, 9.9675e-005
 5.1000e-009, 9.0000e-001, 4.5000e-001,-1.8961e-003
 5.1250e-009, 6.7500e-001, 6.7500e-001, 3.4775e-001
 5.1375e-009, 5.6250e-001, 7.8750e-001, 5.4554e-001
 5.1484e-009, 4.6435e-001, 8.8565e-001, 7.6195e-001
 5.1500e-009, 4.5000e-001, 9.0000e-001, 7.9173e-001
 5.1555e-009, 4.0005e-001, 9.0000e-001, 8.4459e-001
 5.1756e-009, 2.1952e-001, 9.0000e-001, 9.1142e-001
 5.1924e-009, 6.8090e-002, 9.0000e-001, 8.9465e-001
 5.2000e-009, 0.0000e+000, 9.0000e-001, 8.9883e-001
 5.2174e-009, 0.0000e+000, 9.0000e-001, 8.9995e-001
 5.3917e-009, 0.0000e+000, 9.0000e-001, 8.9997e-001
 5.5917e-009, 0.0000e+000, 9.0000e-001, 8.9992e-001
 5.7917e-009, 0.0000e+000, 9.0000e-001, 8.9999e-001
 5.9917e-009, 0.0000e+000, 9.0000e-001, 8.9990e-001
 6.1917e-009, 0.0000e+000, 9.0000e-001, 9.0000e-001
 6.3917e-009, 0.0000e+000, 9.0000e-001, 8.9989e-001
 6.5917e-009, 0.0000e+000, 9.0000e-001, 9.0001e-001
 6.7917e-009, 0.0000e+000, 9.0000e-001, 8.9988e-001
 6.9917e-009, 0.0000e+000, 9.0000e-001, 9.0002e-001
 7.1917e-009, 0.0000e+000, 9.0000e-001, 8.9988e-001
 7.3917e-009, 0.0000e+000, 9.0000e-001, 9.0002e-001
 7.5917e-009, 0.0000e+000, 9.0000e-001, 8.9988e-001
 7.7917e-009, 0.0000e+000, 9.0000e-001, 9.0002e-001
 7.9917e-009, 0.0000e+000, 9.0000e-001, 8.9988e-001
 8.1917e-009, 0.0000e+000, 9.0000e-001, 9.0002e-001
 8.3917e-009, 0.0000e+000, 9.0000e-001, 8.9988e-001
 8.5917e-009, 0.0000e+000, 9.0000e-001, 9.0002e-001
 8.7917e-009, 0.0000e+000, 9.0000e-001, 8.9988e-001
 8.9917e-009, 0.0000e+000, 9.0000e-001, 9.0002e-001
 9.0000e-009, 0.0000e+000, 9.0000e-001, 8.9992e-001

Transient analysis - Dval=5.052e-009 temperature=25.0
Time,V(CLK),V(D),V(Q)
 0.0000e+000, 0.0000e+000, 0.0000e+000, 8.9995e-001
 6.2500e-012, 5.6250e-002, 0.0000e+000, 9.0028e-001
 5.6256e-011, 5.0631e-001, 0.0000e+000, 9.0407e-001
 8.1260e-011, 7.3134e-001, 0.0000e+000, 6.3695e-001
 9.3761e-011, 8.4385e-001, 0.0000e+000, 2.8064e-001
 1.0000e-010, 9.0000e-001, 0.0000e+000, 1.0323e-001
 1.0617e-010, 9.0000e-001, 0.0000e+000, 3.9064e-002
 1.2039e-010, 9.0000e-001, 0.0000e+000,-9.3929e-003
 1.4373e-010, 9.0000e-001, 0.0000e+000, 5.4676e-003
 2.0922e-010, 9.0000e-001, 0.0000e+000,-4.2868e-003
 4.0922e-010, 9.0000e-001, 0.0000e+000, 4.0150e-003
 6.0922e-010, 9.0000e-001, 0.0000e+000,-3.6791e-003
 8.0922e-010, 9.0000e-001, 0.0000e+000, 3.4421e-003
 1.0092e-009, 9.0000e-001, 0.0000e+000,-3.1493e-003
 1.2092e-009, 9.0000e-001, 0.0000e+000, 2.9436e-003
 1.4092e-009, 9.0000e-001, 0.0000e+000,-2.6870e-003
 1.6092e-009, 9.0000e-001, 0.0000e+000, 2.5094e-003
 1.8092e-009, 9.0000e-001, 0.0000e+000,-2.2834e-003
 2.0092e-009, 9.0000e-001, 0.0000e+000, 2.1307e-003
 2.2092e-009, 9.0000e-001, 0.0000e+000,-1.9310e-003
 2.4092e-009, 9.0000e-001, 0.0000e+000, 1.8005e-003
 2.6092e-009, 9.0000e-001, 0.0000e+000,-1.6236e-003
 2.8092e-009, 9.0000e-001, 0.0000e+000, 1.5126e-003
 3.0092e-009, 9.0000e-001, 0.0000e+000,-1.3554e-003
 3.2092e-009, 9.0000e-001, 0.0000e+000, 1.2617e-003
 3.4092e-009, 9.0000e-001, 0.0000e+000,-1.1217e-003
 3.6092e-009, 9.0000e-001, 0.0000e+000, 1.0433e-003
 3.8092e-009, 9.0000e-001, 0.0000e+000,-9.1831e-004
 4.0092e-009, 9.0000e-001, 0.0000e+000, 8.5339e-004
 4.2092e-009, 9.0000e-001, 0.0000e+000,-7.4152e-004
 4.4092e-009, 9.0000e-001, 0.0000e+000, 6.8849e-004
 4.6092e-009, 9.0000e-001, 0.0000e+000,-5.8810e-004
 4.8092e-009, 9.0000e-001, 0.0000e+000, 5.4556e-004
 5.0092e-009, 9.0000e-001, 0.0000e+000,-4.5521e-004
